Source,Target,Type,Id,Label,timeset,Weight
27,30,Directed,608,,,10
35,30,Directed,609,,,12
12,30,Directed,610,,,1
81,30,Directed,611,,,2
82,30,Directed,612,,,11
41,31,Directed,613,,,1
2,32,Directed,614,,,4
80,32,Directed,615,,,1
74,32,Directed,616,,,1
41,32,Directed,617,,,1
101,32,Directed,618,,,3
76,32,Directed,619,,,6
54,32,Directed,620,,,1
95,32,Directed,621,,,1
53,32,Directed,622,,,3
63,32,Directed,623,,,1
12,32,Directed,624,,,1
108,32,Directed,625,,,4
36,32,Directed,626,,,1
4,32,Directed,627,,,4
22,32,Directed,628,,,5
44,32,Directed,629,,,1
69,32,Directed,630,,,9
58,32,Directed,631,,,1
55,32,Directed,632,,,8
48,32,Directed,633,,,1
47,32,Directed,634,,,1
82,32,Directed,635,,,4
26,32,Directed,636,,,2
86,32,Directed,637,,,7
28,32,Directed,638,,,4
84,32,Directed,639,,,1
27,32,Directed,640,,,1
92,32,Directed,641,,,1
29,32,Directed,642,,,1
56,32,Directed,643,,,1
67,32,Directed,644,,,4
59,32,Directed,645,,,6
78,32,Directed,646,,,1
43,32,Directed,647,,,2
81,32,Directed,648,,,1
38,32,Directed,649,,,8
21,32,Directed,650,,,1
14,32,Directed,651,,,4
77,32,Directed,652,,,3
3,32,Directed,653,,,2
35,32,Directed,654,,,8
73,32,Directed,655,,,3
23,32,Directed,656,,,3
70,32,Directed,657,,,4
98,32,Directed,658,,,2
99,32,Directed,659,,,1
100,32,Directed,660,,,1
90,32,Directed,661,,,1
60,32,Directed,662,,,5
103,32,Directed,663,,,1
11,32,Directed,664,,,1
79,32,Directed,665,,,1
49,32,Directed,666,,,3
104,32,Directed,667,,,4
20,32,Directed,668,,,10
15,34,Directed,669,,,1
35,34,Directed,670,,,1
82,34,Directed,671,,,1
108,34,Directed,672,,,1
53,34,Directed,673,,,1
28,34,Directed,674,,,1
20,34,Directed,675,,,1
53,35,Directed,676,,,2
28,35,Directed,677,,,2
82,35,Directed,678,,,2
53,36,Directed,679,,,4
79,36,Directed,680,,,6
60,36,Directed,681,,,7
35,36,Directed,682,,,4
2,36,Directed,683,,,1
14,36,Directed,684,,,3
20,36,Directed,685,,,5
5,36,Directed,686,,,1
104,36,Directed,687,,,1
6,36,Directed,688,,,4
72,36,Directed,689,,,2
12,36,Directed,690,,,3
29,36,Directed,691,,,2
23,36,Directed,692,,,1
52,36,Directed,693,,,4
67,36,Directed,694,,,7
38,36,Directed,695,,,7
43,36,Directed,696,,,4
15,36,Directed,697,,,4
101,36,Directed,698,,,6
3,36,Directed,699,,,2
103,36,Directed,700,,,3
95,36,Directed,701,,,4
82,36,Directed,702,,,5
27,36,Directed,703,,,5
109,36,Directed,704,,,5
42,36,Directed,705,,,6
31,36,Directed,706,,,2
28,36,Directed,707,,,5
70,36,Directed,708,,,1
85,36,Directed,709,,,4
40,36,Directed,710,,,2
1,36,Directed,711,,,1
76,36,Directed,712,,,5
21,36,Directed,713,,,3
55,36,Directed,714,,,7
